image,valence,arousal,social_content,luminance,contrast,entropy,orientation,valence_mean,valence_sd,arousal_mean,arousal_sd
NeutLowNonsoc_8,Neutral,Low,Nonsocial,136.86,42.60,7.33,1,4.73,1.19,2.42,1.93
NeutLowNonsoc_7,Neutral,Low,Nonsocial,134.13,51.55,7.54,1,4.92,1.42,2.47,1.95
NegHighNonsoc_9,Negative,High,Nonsocial,143.93,63.36,7.50,1,2.50,1.54,4.75,2.61
NegHighNonsoc_12,Negative,High,Nonsocial,139.93,56.87,7.33,1,2.11,1.41,5.11,2.64
NegHighNonsoc_10,Negative,High,Nonsocial,119.51,55.43,7.44,1,2.07,1.42,5.23,2.67
NegHighNonsoc_5,Negative,High,Nonsocial,114.69,68.47,7.89,1,2.81,1.85,5.30,2.67
NegHighNonsoc_17,Negative,High,Nonsocial,88.24,69.22,7.73,1,2.60,1.75,5.35,2.70
NegHighNonsoc_1,Negative,High,Nonsocial,150.63,74.11,7.17,1,1.95,1.41,5.43,2.74
NegHighNonsoc_13,Negative,High,Nonsocial,114.39,40.09,6.40,1,1.98,1.42,5.50,2.73
NegHighNonsoc_18,Negative,High,Nonsocial,141.17,72.04,7.32,1,1.98,1.41,5.53,2.71
NegHighNonsoc_11,Negative,High,Nonsocial,134.90,74.81,7.57,1,1.99,1.37,5.58,2.76
NegHighNonsoc_14,Negative,High,Nonsocial,96.70,48.02,7.09,1,2.50,1.72,5.74,2.67
NegHighNonsoc_2,Negative,High,Nonsocial,109.21,62.87,6.97,1,2.51,2.03,5.77,2.68
NegHighNonsoc_15,Negative,High,Nonsocial,102.86,62.93,7.53,1,2.39,1.74,5.81,2.68
NegHighNonsoc_19,Negative,High,Nonsocial,140.10,68.78,7.52,1,1.93,1.44,5.85,2.70
NegHighNonsoc_22,Negative,High,Nonsocial,127.94,56.24,6.77,1,2.88,2.14,5.86,2.61
NegHighNonsoc_24,Negative,High,Nonsocial,128.20,53.27,7.69,1,2.29,1.81,5.95,2.67
NegHighNonsoc_20,Negative,High,Nonsocial,73.40,67.76,7.28,1,1.95,1.53,6.06,2.71
NegHighNonsoc_3,Negative,High,Nonsocial,131.26,64.13,7.24,1,1.69,1.20,6.21,2.68
NegHighNonsoc_8,Negative,High,Nonsocial,60.19,46.41,7.01,1,1.57,1.30,6.27,2.88
NegHighNonsoc_6,Negative,High,Nonsocial,119.35,38.09,7.03,1,1.49,1.13,6.38,2.81
NegHighNonsoc_7,Negative,High,Nonsocial,100.20,63.34,7.62,1,1.44,1.16,6.41,2.91
NegHighSoc_23,Negative,High,Social,90.31,64.15,7.41,1,2.16,1.47,5.53,2.59
